	id_directeur	liste_films	directeur
337	nm0029762	[510460, 49946, 57391, 298459]	Cédric Anger
338	nm0030417	[15137, 20921, 813477, 552490, 22843, 75629, 283566, 315011]	Hideaki Anno
339	nm0030681	[389044, 102533, 129432, 236873]	Sólveig Anspach
340	nm0030735	[4597, 401600, 34851]	Nimród Antal
341	nm0031888	[38047]	Shinji Aoyama
342	nm0032521	[101621]	Serik Aprimov
343	nm0032714	[603400, 471402, 452160, 56084, 58476, 300810]	Sherif Arafa
344	nm0032925	[11633, 13981, 965244, 460790, 114478, 269650]	Shinji Aramaki
345	nm0033384	[355234, 125741]	Danielle Arbid
346	nm0035018	[69442, 69443]	Arjun Sarja
347	nm0035305	[602163, 72917]	François Armanet
348	nm0036331	[12838, 83388]	Pascal Arnold
349	nm0037074	[92069]	Attila Árpa
350	nm0037576	[175331]	Yilmaz Arslan
351	nm0037597	[63265]	Diego Arsuaga
352	nm0037867	[618260, 62320, 152113]	Yann Arthus-Bertrand
353	nm0038319	[31347]	Morio Asaka
354	nm0038896	[193726]	Rodney Ascher
355	nm0038936	[217527]	Rob Ashford
356	nm0039294	[78240]	Gillian Ashurst
357	nm0039903	[60130]	Eric Assous
358	nm0040286	[62678]	Alexander Atanesyan
359	nm0040734	[254251]	James Atkinson
360	nm0040939	[14651, 14653, 756603, 536506, 452187]	Yvan Attal
361	nm0041161	[10431]	Philip G. Atwell
362	nm0041334	[700066, 40623, 126319]	Stéphane Aubier
363	nm0041474	[2266]	Frédéric Auburtin
364	nm0041527	[893904]	Sylvie Audcoeur
365	nm0041707	[927341]	Gary Auerbach
366	nm0042848	[205114]	Serge Avedikian
367	nm0042996	[649788]	Jean-Christophe Averty
368	nm0043211	[271683]	Yossi Aviram
369	nm0043742	[1266, 7873, 531499, 400106, 144336, 228150, 297761]	David Ayer
370	nm0043953	[17495, 473324, 49167, 134908, 336805]	Nabil Ayouch
371	nm0044242	[408296, 128238]	Licínio Azevedo
372	nm0044310	[531736, 66077]	Myriam Aziza
373	nm0044338	[229489, 306858]	Bade Hj. Azmi
374	nm0044577	[219055]	Agnès B.
375	nm0044584	[81087]	Gopal B.
376	nm0044611	[276181]	Bassek Ba Kobhio
377	nm0044651	[138199]	Peter de Baan
378	nm0044700	[665372, 578970, 578354, 490801]	Baba Yadav
379	nm0046275	[148873]	Bae Chang-ho
380	nm0046347	[415036, 60448]	Edouard Baer
381	nm0046494	[16930]	Laurent Baffie
382	nm0046900	[59062]	Abdelkrim Bahloul
383	nm0046985	[879371]	Deepak Bahry
384	nm0047047	[58602]	Jo Baier
385	nm0047049	[12453, 958978, 217337, 343110]	Lionel Baier
386	nm0047063	[277636]	Petter Baiestorf
387	nm0047193	[366672]	Chris Bailey
388	nm0049235	[478113]	Mohammad Bakri
389	nm0049326	[20993]	Aleksey Balabanov
390	nm0049371	[630004, 429460]	Jaume Balagueró
391	nm0049633	[324852]	Kyle Balda
392	nm0050988	[250833]	Thomas Balmès
393	nm0051939	[13529]	Thomas Bangalter
394	nm0052054	[37695]	Anders Banke
395	nm0052508	[323615]	Jeremy Banster
396	nm0053228	[589594, 24051, 71677, 127521, 270938, 326284]	Ernie Barbarash
397	nm0053556	[48454]	Ken Barbet
398	nm0053613	[21382, 1000521, 611808, 432616, 269714]	Eric Barbier
399	nm0053684	[245729]	Tony Barbieri
400	nm0054048	[200130]	Gerald Barclay
401	nm0054504	[16043, 77234]	Kasper Barfoed
402	nm0054557	[435736]	Henri Barges
403	nm0054744	[362136]	Sooraj R. Barjatya
404	nm0054954	[18359]	Mike Barker
405	nm0055348	[483368]	Nicola Barnaba
406	nm0056527	[691812]	John Barr
407	nm0056725	[5528, 15457, 783558, 728878, 394161, 74945]	Christophe Barratier
408	nm0057106	[139567]	David Barrett
409	nm0057842	[19934, 613335, 544345, 424619, 369776, 44155, 66129, 139374, 295087, 333549]	Olivier Baroux
410	nm0058388	[617718]	Bartabas
411	nm0058401	[584451, 32708, 68774, 99738, 336803]	Sharunas Bartas
412	nm0058713	[48394, 66122]	Maurice Barthélémy
413	nm0059277	[515815]	Todd Bartoo
414	nm0059686	[37970]	K.C. Bascombe
415	nm0059750	[245527]	George Basha
416	nm0059977	[290730]	Peter Paul Basler
417	nm0061385	[47514]	Roy Battersby
418	nm0061582	[597693]	Stéphane Batut
419	nm0062341	[316822]	Michael Baumgarten
420	nm0062614	[425694, 303457]	Harry Baweja
421	nm0063279	[948713]	Edward Bazalgette
422	nm0063357	[12273, 20294, 649487, 357563, 65946]	Anees Bazmee
423	nm0063769	[274862]	Charlie Bean
424	nm0063806	[52684]	Richard Bean
425	nm0064181	[43930]	Stuart Beattie
426	nm0064394	[57709]	Jean Beaudin
427	nm0064741	[12455, 661591, 427347, 46332, 57728, 263118]	Xavier Beauvois
428	nm0065449	[4519, 9736, 892503, 499151, 39413, 51163, 54544, 289151]	Jean Becker
429	nm0065608	[11199]	Walt Becker
430	nm0066080	[13741, 400148]	Ramzy Bedia
431	nm0067166	[384727, 85735]	Frédéric Beigbeder
432	nm0067457	[2269, 3040, 8909, 672475, 462568, 72331, 271969]	Timur Bekmambetov
433	nm0067747	[565469]	Kirill Belevich
434	nm0067946	[215034]	Néjib Belkadhi
435	nm0068755	[400315]	Clara Bellar
436	nm0069166	[575452, 394260, 314400]	Marco Bellocchio
437	nm0069319	[153522]	Charles Belmont
438	nm0069342	[8268, 947549]	Véra Belmont
439	nm0069711	[660004, 430172, 24259, 35008, 44539, 44674, 95191, 266537]	Lucas Belvaux
440	nm0069900	[486114, 69746]	Mehdi Ben Attia
441	nm0070436	[1268]	Steve Bendelack
442	nm0070867	[58725]	Shyam Benegal
443	nm0070899	[17630, 606236, 415132]	Jean-Patrick Benes
444	nm0071066	[243794]	Ray Bengston
445	nm0071117	[534426, 124731]	Yamina Benguigui
446	nm0072354	[13404, 481762, 62723]	Djamel Bensalah
447	nm0072364	[468657, 97064, 93098]	Faouzi Bensaïdi
448	nm0073322	[5643, 18457, 39386]	Alain Berbérian
449	nm0073384	[654323, 393945, 48601, 70955, 157690, 329819]	Emmanuelle Bercot
450	nm0074311	[127864]	Pablo Berger
451	nm0074426	[10555, 77459]	Bibo Bergeron
452	nm0074485	[660949]	Ludovic Bergery
453	nm0075696	[487680]	Andrea Berloff
454	nm0075849	[47088]	Shari Springer Berman
455	nm0076081	[247994]	Joyce Bernal
456	nm0076307	[605735, 481157, 446038, 421447]	Ludovic Bernard
457	nm0076349	[12425, 585093]	Patrick-Mario Bernard
458	nm0076780	[550476]	Daniel Bernhardt
459	nm0077622	[369780]	Marilou Berry
460	nm0077911	[490462, 67509, 78996, 333367]	Fabienne Berthaud
461	nm0078363	[46280]	Diane Bertrand
462	nm0078416	[49887]	Renaud Bertrand
463	nm0078465	[13432, 482710, 51409, 259084]	Julie Bertuccelli
464	nm0078704	[13652, 1000572, 745611, 613361, 369770, 52349]	Éric Besnard
465	nm0078762	[71700]	Carl Bessai
466	nm0079496	[240881]	Shana Betz
467	nm0080235	[20688, 21265, 542460, 280795]	Vishal Bhardwaj
468	nm0080278	[117415]	Vijay K. Bhaskar
469	nm0080315	[556270]	Mahesh Bhatt
470	nm0080324	[59258, 86576]	Pooja Bhatt
471	nm0080333	[49518, 68758, 115124, 117322, 140231, 329909]	Vikram Bhatt
472	nm0080400	[449733]	Srinivasa Rao Bhimaneni
473	nm0080409	[444713]	Deven Bhojani
474	nm0080456	[34216]	Kenneth Bi
475	nm0081179	[613319, 336811]	Thomas Bidegain
476	nm0081433	[13653]	Fabián Bielinsky
477	nm0081540	[126250]	Susanne Bier
478	nm0082094	[5552]	Enki Bilal
479	nm0082300	[9664]	Tony Bill
480	nm0082450	[43074, 136795, 238713]	Paul Feig
481	nm0082526	[257440]	Peter Billingsley
482	nm0082841	[38717]	William Bindley
483	nm0083015	[977553, 61361, 102292]	Thierry Binisti
484	nm0083348	[9806, 56292, 260513]	Brad Bird
485	nm0083761	[56018]	Bill Birrell
486	nm0084059	[51465]	Gregg Bishop
487	nm0084114	[13300]	Larry Bishop
488	nm0084207	[254251]	Todd Bishop
489	nm0084580	[18303, 26152]	Gérard Bitton
490	nm0084619	[249072]	Didier Bivel
491	nm0086826	[29076]	Eric Blakeney
492	nm0086920	[706568, 42058, 78547]	Christophe Blanc
493	nm0088397	[5070, 48328, 50845, 68970]	Bertrand Blier
494	nm0088955	[68724, 198184]	Neill Blomkamp
495	nm0089033	[928381]	Régis Blondeau
496	nm0089502	[128598]	Albert Pyun
497	nm0089940	[7450]	Don Bluth
498	nm0090066	[12253]	Reggie Rock Bythewood
499	nm0090442	[199283]	Lidiya Bobrova
500	nm0091076	[12246]	Sergei Bodrov
501	nm0091253	[37980]	Ludi Boeken
502	nm0092563	[417039]	Patrick Bokanowski
503	nm0092632	[151708]	Carlos Bolado
504	nm0093051	[20181, 395925, 38780, 46217, 60479, 184125, 250388]	Uwe Boll
505	nm0093081	[679888, 537021, 366505, 53596]	Icíar Bollaín
506	nm0093232	[44225]	Gabriel Bologna
507	nm0093934	[41602]	Fredrik Bond
508	nm0094080	[14097, 18122, 514207, 203793]	Fedor Bondarchuk
509	nm0094137	[56992]	Federico Bondi
510	nm0094274	[920772, 554311, 380623, 67236, 84427, 221667]	Bertrand Bonello
511	nm0094435	[8938, 110415]	Bong Joon Ho
